       psi        ni[m^-3]        ne[m^-3]       ti[eV]       te[eV]    we[rad/s]
2.202729E-01   4.028850E+19   4.818643E+19   3.376371E+03   2.213912E+03   1.000000E+00
2.222222E-01   4.023629E+19   4.812753E+19   3.364993E+03   2.211050E+03   1.000000E+00
2.241715E-01   4.018404E+19   4.806867E+19   3.353656E+03   2.208184E+03   1.000000E+00
2.261209E-01   4.013174E+19   4.800988E+19   3.342361E+03   2.205314E+03   1.000000E+00
2.280702E-01   4.007939E+19   4.795114E+19   3.331108E+03   2.202441E+03   1.000000E+00
2.300195E-01   4.002701E+19   4.789245E+19   3.319896E+03   2.199564E+03   1.000000E+00
2.319688E-01   3.997460E+19   4.783382E+19   3.308726E+03   2.196684E+03   1.000000E+00
2.339181E-01   3.992214E+19   4.777525E+19   3.297597E+03   2.193800E+03   1.000000E+00
2.358674E-01   3.986966E+19   4.771674E+19   3.286510E+03   2.190912E+03   1.000000E+00
2.378168E-01   3.981714E+19   4.765828E+19   3.275463E+03   2.188021E+03   1.000000E+00
2.397661E-01   3.976460E+19   4.759989E+19   3.264458E+03   2.185127E+03   1.000000E+00
2.417154E-01   3.971203E+19   4.754155E+19   3.253494E+03   2.182229E+03   1.000000E+00
2.436647E-01   3.965943E+19   4.748327E+19   3.242570E+03   2.179327E+03   1.000000E+00
2.456140E-01   3.960681E+19   4.742504E+19   3.231688E+03   2.176422E+03   1.000000E+00
2.475634E-01   3.955417E+19   4.736688E+19   3.220846E+03   2.173514E+03   1.000000E+00
2.495127E-01   3.950151E+19   4.730878E+19   3.210044E+03   2.170602E+03   1.000000E+00
2.514620E-01   3.944883E+19   4.725074E+19   3.199284E+03   2.167686E+03   1.000000E+00
2.534113E-01   3.939614E+19   4.719276E+19   3.188563E+03   2.164768E+03   1.000000E+00
2.553606E-01   3.934343E+19   4.713484E+19   3.177884E+03   2.161846E+03   1.000000E+00
2.573099E-01   3.929072E+19   4.707698E+19   3.167244E+03   2.158920E+03   1.000000E+00
2.592593E-01   3.923799E+19   4.701918E+19   3.156645E+03   2.155991E+03   1.000000E+00
2.612086E-01   3.918526E+19   4.696144E+19   3.146086E+03   2.153059E+03   1.000000E+00
2.631579E-01   3.913251E+19   4.690377E+19   3.135567E+03   2.150123E+03   1.000000E+00
2.651072E-01   3.907977E+19   4.684616E+19   3.125088E+03   2.147185E+03   1.000000E+00
2.670565E-01   3.902702E+19   4.678861E+19   3.114648E+03   2.144242E+03   1.000000E+00
2.690058E-01   3.897428E+19   4.673113E+19   3.104249E+03   2.141297E+03   1.000000E+00
2.709552E-01   3.892153E+19   4.667370E+19   3.093890E+03   2.138348E+03   1.000000E+00
2.729045E-01   3.886878E+19   4.661635E+19   3.083570E+03   2.135396E+03   1.000000E+00
2.748538E-01   3.881605E+19   4.655905E+19   3.073290E+03   2.132441E+03   1.000000E+00
2.768031E-01   3.876331E+19   4.650182E+19   3.063049E+03   2.129482E+03   1.000000E+00
2.787524E-01   3.871059E+19   4.644466E+19   3.052848E+03   2.126520E+03   1.000000E+00
2.807018E-01   3.865787E+19   4.638756E+19   3.042686E+03   2.123555E+03   1.000000E+00
2.826511E-01   3.860517E+19   4.633052E+19   3.032564E+03   2.120587E+03   1.000000E+00
2.846004E-01   3.855248E+19   4.627355E+19   3.022481E+03   2.117616E+03   1.000000E+00
2.865497E-01   3.849981E+19   4.621665E+19   3.012437E+03   2.114641E+03   1.000000E+00
2.884990E-01   3.844715E+19   4.615982E+19   3.002432E+03   2.111663E+03   1.000000E+00
2.904483E-01   3.839451E+19   4.610305E+19   2.992467E+03   2.108682E+03   1.000000E+00
2.923977E-01   3.834189E+19   4.604634E+19   2.982540E+03   2.105698E+03   1.000000E+00
2.943470E-01   3.828929E+19   4.598971E+19   2.972652E+03   2.102710E+03   1.000000E+00
2.962963E-01   3.823671E+19   4.593314E+19   2.962804E+03   2.099719E+03   1.000000E+00
2.982456E-01   3.818416E+19   4.587664E+19   2.952994E+03   2.096726E+03   1.000000E+00
3.001949E-01   3.813164E+19   4.582021E+19   2.943223E+03   2.093729E+03   1.000000E+00
3.021442E-01   3.807914E+19   4.576384E+19   2.933490E+03   2.090729E+03   1.000000E+00
3.040936E-01   3.802667E+19   4.570755E+19   2.923796E+03   2.087726E+03   1.000000E+00
3.060429E-01   3.797423E+19   4.565132E+19   2.914141E+03   2.084719E+03   1.000000E+00
3.079922E-01   3.792183E+19   4.559516E+19   2.904525E+03   2.081710E+03   1.000000E+00
3.099415E-01   3.786946E+19   4.553908E+19   2.894946E+03   2.078698E+03   1.000000E+00
3.118908E-01   3.781712E+19   4.548306E+19   2.885407E+03   2.075682E+03   1.000000E+00
3.138402E-01   3.776482E+19   4.542711E+19   2.875905E+03   2.072663E+03   1.000000E+00
3.157895E-01   3.771256E+19   4.537123E+19   2.866442E+03   2.069642E+03   1.000000E+00
3.177388E-01   3.766035E+19   4.531543E+19   2.857017E+03   2.066617E+03   1.000000E+00
3.196881E-01   3.760817E+19   4.525969E+19   2.847631E+03   2.063589E+03   1.000000E+00
3.216374E-01   3.755603E+19   4.520403E+19   2.838282E+03   2.060558E+03   1.000000E+00
3.235867E-01   3.750394E+19   4.514843E+19   2.828972E+03   2.057524E+03   1.000000E+00
3.255361E-01   3.745190E+19   4.509291E+19   2.819700E+03   2.054487E+03   1.000000E+00
3.274854E-01   3.739990E+19   4.503746E+19   2.810465E+03   2.051447E+03   1.000000E+00
3.294347E-01   3.734795E+19   4.498209E+19   2.801269E+03   2.048404E+03   1.000000E+00
3.313840E-01   3.729606E+19   4.492678E+19   2.792110E+03   2.045358E+03   1.000000E+00
3.333333E-01   3.724421E+19   4.487155E+19   2.782989E+03   2.042309E+03   1.000000E+00
3.352827E-01   3.719242E+19   4.481640E+19   2.773906E+03   2.039257E+03   1.000000E+00
3.372320E-01   3.714068E+19   4.476131E+19   2.764861E+03   2.036202E+03   1.000000E+00
3.391813E-01   3.708900E+19   4.470630E+19   2.755854E+03   2.033143E+03   1.000000E+00
3.411306E-01   3.703737E+19   4.465137E+19   2.746884E+03   2.030082E+03   1.000000E+00
3.430799E-01   3.698580E+19   4.459651E+19   2.737951E+03   2.027018E+03   1.000000E+00
3.450292E-01   3.693430E+19   4.454172E+19   2.729056E+03   2.023951E+03   1.000000E+00
3.469786E-01   3.688285E+19   4.448701E+19   2.720199E+03   2.020881E+03   1.000000E+00
3.489279E-01   3.683147E+19   4.443237E+19   2.711379E+03   2.017808E+03   1.000000E+00
3.508772E-01   3.678015E+19   4.437781E+19   2.702596E+03   2.014732E+03   1.000000E+00
3.528265E-01   3.672890E+19   4.432332E+19   2.693851E+03   2.011653E+03   1.000000E+00
3.547758E-01   3.667772E+19   4.426891E+19   2.685143E+03   2.008571E+03   1.000000E+00
3.567251E-01   3.662660E+19   4.421458E+19   2.676473E+03   2.005486E+03   1.000000E+00
3.586745E-01   3.657555E+19   4.416032E+19   2.667839E+03   2.002398E+03   1.000000E+00
3.606238E-01   3.652457E+19   4.410614E+19   2.659243E+03   1.999307E+03   1.000000E+00
3.625731E-01   3.647367E+19   4.405204E+19   2.650684E+03   1.996214E+03   1.000000E+00
3.645224E-01   3.642284E+19   4.399802E+19   2.642161E+03   1.993117E+03   1.000000E+00
3.664717E-01   3.637208E+19   4.394407E+19   2.633676E+03   1.990017E+03   1.000000E+00
3.684211E-01   3.632140E+19   4.389020E+19   2.625228E+03   1.986915E+03   1.000000E+00
3.703704E-01   3.627079E+19   4.383641E+19   2.616817E+03   1.983809E+03   1.000000E+00
3.723197E-01   3.622027E+19   4.378270E+19   2.608443E+03   1.980701E+03   1.000000E+00
3.742690E-01   3.616982E+19   4.372906E+19   2.600105E+03   1.977590E+03   1.000000E+00
3.762183E-01   3.611946E+19   4.367551E+19   2.591804E+03   1.974475E+03   1.000000E+00
3.781676E-01   3.606918E+19   4.362203E+19   2.583541E+03   1.971358E+03   1.000000E+00
3.801170E-01   3.601898E+19   4.356864E+19   2.575313E+03   1.968238E+03   1.000000E+00
3.820663E-01   3.596886E+19   4.351532E+19   2.567123E+03   1.965115E+03   1.000000E+00
3.840156E-01   3.591883E+19   4.346209E+19   2.558969E+03   1.961989E+03   1.000000E+00
3.859649E-01   3.586889E+19   4.340893E+19   2.550852E+03   1.958860E+03   1.000000E+00
3.879142E-01   3.581904E+19   4.335586E+19   2.542771E+03   1.955729E+03   1.000000E+00
3.898635E-01   3.576928E+19   4.330286E+19   2.534727E+03   1.952594E+03   1.000000E+00
3.918129E-01   3.571960E+19   4.324995E+19   2.526719E+03   1.949457E+03   1.000000E+00
3.937622E-01   3.567002E+19   4.319712E+19   2.518748E+03   1.946316E+03   1.000000E+00
3.957115E-01   3.562053E+19   4.314437E+19   2.510813E+03   1.943173E+03   1.000000E+00
3.976608E-01   3.557114E+19   4.309171E+19   2.502915E+03   1.940027E+03   1.000000E+00
3.996101E-01   3.552184E+19   4.303912E+19   2.495053E+03   1.936878E+03   1.000000E+00
4.015595E-01   3.547264E+19   4.298662E+19   2.487227E+03   1.933726E+03   1.000000E+00
4.035088E-01   3.542354E+19   4.293420E+19   2.479438E+03   1.930571E+03   1.000000E+00
4.054581E-01   3.537453E+19   4.288187E+19   2.471684E+03   1.927414E+03   1.000000E+00
4.074074E-01   3.532563E+19   4.282961E+19   2.463967E+03   1.924253E+03   1.000000E+00
4.093567E-01   3.527682E+19   4.277745E+19   2.456286E+03   1.921090E+03   1.000000E+00
4.113060E-01   3.522812E+19   4.272536E+19   2.448641E+03   1.917923E+03   1.000000E+00
